page_url,image_url,movie_title,description
https://ithinker.ru/film/chelovek-benzopila-2022/,https://ithinker.ru/static/images/film/1/thumb/319342.jpg,Человек-бензопила (2022),"Дэндзи хотел жить спокойной жизнью со своей девушкой, но, чтобы расплатиться с оставшимися от отца долгами, был вынужден заниматься нелегальной охотой на демонов и однажды погиб. Его не самый обычный домашний питомец Потита каким-то образом слился с его мертвым телом, и теперь парень способен превращать конечности в бензопилы. Такого ценного кадра нанимает Бюро общественной безопасности, чтобы тот снова охотился на демонов — теперь официально."
https://ithinker.ru/film/lyubov-smert-i-roboty-2019/,https://ithinker.ru/static/images/film/1/thumb/58953.jpg,"Любовь, смерть и роботы (2019)",Короткометражные фильмы на фантастические темы.
https://ithinker.ru/film/pozolochennyj-vek-2022/,https://ithinker.ru/static/images/film/13/thumb/318504.jpg,Позолоченный век (2022),Description not found
https://ithinker.ru/film/dom-gucci-2021/,https://ithinker.ru/static/images/film/10/thumb/318107.jpg,Дом Gucci (2021),Description not found
https://ithinker.ru/film/u-kholmov-est-glaza-2006/,https://ithinker.ru/static/images/film/3/thumb/5214.jpg,У холмов есть глаза (2006),"Путешествуя по Америке в доме на колесах, семейство Картеров, попав в аварию, оказывается в таинственной ядерной зоне, отрезанной от цивилизации. Однако со временем Картеры обнаруживают, что на этой вроде бы пустынной территории обитает кровожадная семейка мутантов, которые начинают вести охоту на них…"
https://ithinker.ru/film/temnye-nachala-2019/,https://ithinker.ru/static/images/film/7/thumb/60626.jpg,Темные начала (2019),"Лира Белаква живёт в мире, где существуют ведьмы и бронированные медведи, а у людей есть деймоны — существа, составляющие неотъемлемую часть их личностей. Опекун девочки, исследователь лорд Азриэл, находит способ передвигаться между параллельными землями, благодаря чему Лира знакомится с мальчиком Уиллом, который живёт в мире, лишённом магии."
https://ithinker.ru/film/drugie-2018/,https://ithinker.ru/static/images/film/7/thumb/59335.jpg,Другие (2018),Description not found
https://ithinker.ru/film/luchshie-v-adu-2022/,https://ithinker.ru/static/images/film/20/thumb/319530.jpg,Лучшие в аду (2022),Description not found
https://ithinker.ru/film/prostushka-2015/,https://ithinker.ru/static/images/film/5/thumb/10018.jpg,Простушка (2015),"Бьянка – ничем не примечательная старшеклассница. Она хорошо учится и дружит с двумя красотками. При этом в школе большая часть учеников даже не подозревает о ее существовании. Однажды Бьянка узнает, что красотки общались с ней только для того, чтобы лучше выглядеть на ее фоне. Героиня ссорится с ними и решает кардинально изменить свою жизнь. Она обращается к красавчику Уэсли – самому популярному парню в школе. В детстве Бьянка хорошо с ним общалась, но потом их пути разошлись. Девушка предлагает сделку: она помогает ему подготовиться к экзаменам, а Уэсли взамен учит ее одеваться, правильно вести себя на свидании и прочим премудростям."
https://ithinker.ru/film/psihiatricheskaya-bolnica-kondzhiam-2018/,https://ithinker.ru/static/images/film/7/thumb/58384.jpg,Психиатрическая больница Конджиам (2018),"После группового самоубийства 42 пациентов и исчезновения главврача 26 октября 1979 года психиатрическую больницу Конджиам закрыли. С тех пор это место притягивает любителей пощекотать нервы, и о нём ходят легенды — якобы здание населено призраками, и никому не удалось открыть дверь в зловещую комнату 402. Видеоблогер, ведущий шоу ужасов на YouTube, набирает команду отчаянных исследователей, чтобы именно 26 октября устроить прямой эфир из больницы, набрать миллион просмотров, добраться до комнаты 402 и открыть её дверь любой ценой."
